City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,wailua homesteads,22.0669,-159.378,300.39,76,40,6.69,US,1696101625
135,akureyri,65.6835,-18.0878,278.11,75,20,1.54,IS,1696101625
136,bengkulu,-3.8004,102.2655,295.5,95,17,2.73,ID,1696101625
137,sitka,57.0531,-135.33,284.09,76,100,3.09,US,1696101625
138,deir ez-zor,35.3359,40.1408,299.56,43,68,7.17,SY,1696101625
139,menominee,45.1078,-87.6143,293.19,88,100,2.06,US,1696101625
140,fort bragg,35.139,-79.006,296.94,68,100,4.12,US,1696101356
141,sao miguel,-5.4667,-35.3667,301.58,61,23,8.93,BR,1696101626
142,thompson,55.7435,-97.8558,283.24,87,75,7.2,CA,1696101421
143,sheregesh,52.9209,87.9869,280.35,98,100,0.64,RU,1696101626
144,polyarnyy,69.1989,33.4478,280.5,95,77,3.49,RU,1696101626
145,motygino,58.1831,94.7592,274.14,76,100,4.47,RU,1696101626
146,nelidovo,56.2211,32.7774,288.68,73,100,3.03,RU,1696101627
147,puerto ayora,-0.7393,-90.3518,303.13,90,100,4.02,EC,1696101627
148,santiago del torno,-17.9833,-63.3833,302.25,27,88,2.53,BO,1696101627
149,yaren,-0.5472,166.916,301.5,77,34,4.76,NR,1696101627
150,sandpoint,48.2766,-116.5533,285.29,75,100,6.69,US,1696101627
151,qamdo,31.1667,97.2333,277.27,63,59,1.73,CN,1696101627
152,remire-montjoly,4.9167,-52.2667,306.17,55,0,5.14,GF,1696101628
153,rio grande,-32.035,-52.0986,289.21,73,95,5.41,BR,1696101426
154,basco,20.4487,121.9702,301.97,82,100,7.22,PH,1696101628
155,opuwo,-18.0607,13.84,297.29,22,0,3.54,NA,1696101628
156,berezovyy,51.6667,135.7,280.14,94,100,1.76,RU,1696101628
157,hawaiian paradise park,19.5933,-154.9731,297.61,92,100,2.57,US,1696101344
158,constantia,44.1833,28.65,292.53,66,5,4.84,RO,1696101629
159,punta arenas,-53.15,-70.9167,283.21,57,0,1.54,CL,1696101368
160,ongjin,37.9347,125.3619,289.49,60,0,5.23,KP,1696101629
161,egilsstadir,65.2653,-14.3948,279.1,87,100,2.57,IS,1696101629
162,grand-bassam,5.2118,-3.7388,300.13,89,54,3.1,CI,1696101629
163,tamanrasset,22.785,5.5228,299.1,25,40,4.63,DZ,1696101630
164,kailua-kona,19.6406,-155.9956,302.19,73,20,2.57,US,1696101630
165,dinkelscherben,48.3483,10.5889,288.03,91,100,0.88,DE,1696101630
166,safford,32.834,-109.7076,307.45,14,0,8.23,US,1696101630
167,suicheng,33.8963,117.9331,289.71,73,31,3.79,CN,1696101630
168,mohr,54.3528,9.7167,287.23,84,100,2.57,DE,1696101631
169,muynoq,43.7683,59.0214,288.91,40,6,1.11,UZ,1696101631
170,ko pha ngan,9.7578,100.0291,298.92,74,99,5.66,TH,1696101631
171,cabo san lucas,22.8909,-109.9124,309.05,52,0,2.57,MX,1696101343
172,tosontsengel,48.7567,98.2839,274.31,53,6,0.64,MN,1696101631
173,mukalla,14.5425,49.1242,301.33,73,5,0.19,YE,1696101631
